"Source:","/home/heller/RRCircuits/ESP32-C3-Booster/ESP32-C3-Booster.sch"
"Date:","Sat 05 Nov 2022 03:21:31 PM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/home/heller/RRCircuits/bom_csv_grouped_by_partnum.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser2 Part Number","Mouser2 Price/Stock"
"","","C101","10 nf","device:C_Small","Capacitors_SMD:C_1206","","","","","","791-1206B103K500CT","","",""
"","","C201","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C202","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C203","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","","",""
"","","C204","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C205","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","","",""
"","","C206","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C207","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C208","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C209","100pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K3RAUTO","","",""
"","","C210","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C211","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C212","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C213","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C214","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C301","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C302","47 nf","device:C","Capacitors_SMD:C_0603","","","","","","963-GMK107BJ473KAHT","","",""
"","","C303","15 uf 15V","device:CP1","Capacitors_SMD:CP_Elec_4x5.8","","","","","","647-UUD1C150MCL","","",""
"","","C401","220 uf 25V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UUX2A220MNL6GS","","",""
"","","C403","22 uf 100V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UWT1E221MNL1GS","","",""
"","","C405","10 nf","device:C_Small","Capacitors_SMD:C_1206","","","","","","791-1206B103K500CT","","",""
"","","C406","10 uf","device:CP1_Small","Capacitors_SMD:CP_Elec_5x5.3","","","","","","710-865230542002","","",""
"","","C501","1 uf","device:C","Capacitors_SMD:C_0603","","","","","","963-GMK107AB7105KAHT","","",""
"","","C502","47 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107BJ473KAHT","","",""
"","","C503","1 uf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107AB7105KAHT","","",""
"","","C504","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C505","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C506","47 uf","device:CP1","Capacitors_SMD:CP_Elec_6.3x5.3","","","","","","710-865080543009","","",""
"","","C601","100 uf","device:CP1_Small","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","D101","RB080LAM-30TR","device:D_Schottky","RB080LAM-30TR:PMDTM","","","","","","755-RB080LAM-30TR","","",""
"","","D102","OPS ActB","device:LED","LEDs:LED_0603","","","","","","710-150060RS75000","","",""
"","","D103","OPS ActA","device:LED","LEDs:LED_0603","","","","","","710-150060GS75000","","",""
"","","D201","ACT1","device:LED","LEDs:LED_0402","","","","","","710-150040GS73220","","",""
"","","D202","ACT2","device:LED","LEDs:LED_0402","","","","","","710-150040SS73220","","",""
"","","D301","Tx","device:LED","LEDs:LED_0603","","","","","","710-150060SS75000","","",""
"","","D302","Rx","device:LED","LEDs:LED_0603","","","","","","710-150060YS75000","","",""
"","","D303","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D304","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D401","CMSH1-60","device:D_Schottky","Diodes_SMD:D_SMA","","","","","","610-CMSH1-60TR13","","",""
"","","D402","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D403","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D501","1.5v 10ma","device:D_Zener_Small","Diodes_SMD:D_SOD-323","","","","","","610-CMDZ1L8TR","","",""
"","","D601","1SS352H3F","device:D","Diodes_SMD:D_SOD-323","","","","","","757-1SS352H3F","","",""
"","","F101","5A","device:Fuse_Small","MF-R500:MFR500","","","","","","652-MFR500","","",""
"","","F102","5A","device:Fuse_Small","MF-R500:MFR500","","","","","","652-MFR500","","",""
"","","IC201","ESP32-C3FN4","ESP32-C3FN4:ESP32-C3FN4","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","https://www.mouser.co.uk/datasheet/2/891/esp32_c3_datasheet_en-1989865.pdf","RF System on a Chip - SoC SMD IC ESP32-C3FN4, single-core MCU, 2.4G Wi-Fi & BLE 5.0 combo, QFN 32-pin, 5*5 mm, 4 MB flash inside, -40C +85C","0.9","Espressif Systems","ESP32-C3FN4","356-ESP32-C3FN4","","",""
"","","IC202","USBLC6-2SC6","USBLC6-2SC6:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","https://componentsearchengine.com//USBLC6-2SC6.pdf","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin","1.45","STMicroelectronics","USBLC6-2SC6","511-USBLC6-2SC6","","511-USBLC6-2SC6","https://www.mouser.com/Search/Refine.aspx?Keyword=511-USBLC6-2SC6"
"","","J101","- Power + In -","conn:Screw_Terminal_01x03","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_3pol","","","","","","651-544225","","",""
