"Source:","/home/heller/RRCircuits/ESP32-D0WD-V3-MultiFunction/ESP32-D0WD-V3-MultiFunction.sch"
"Date:","Sat 30 Jul 2022 08:04:27 AM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","144"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser2 Part Number","Mouser2 Price/Stock"
"","","C201","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","",""
"","","C202","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","",""
"","","C203","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","",""
"","","C204","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","",""
"","","C205","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","",""
"","","C206","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","",""
"","","C207","100pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K3RAUTO","",""
"","","C208","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","",""
"","","C209","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","",""
"","","C210","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","",""
"","","C213","10nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","81-GRM155R61E103KA1D","",""
"","","C214","3nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","81-GRM1557U1A302JA1D","",""
"","","C215","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","",""
"","","C216","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","",""
"","","C217","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","",""
"","","C301","220 uf 25V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UWT1E221MNL1GS","",""
"","","C302","22 uf 100V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UUX2A220MNL6GS","",""
"","","C401",".1 uf","device:C","Capacitors_SMD:C_0603","","","","","","","",""
"","","C402","10 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885382206002","",""
"","","C403","10 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885382206002","",""
"","","C404","10 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885382206002","",""
"","","C405","10 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885382206002","",""
"","","C501",".1 uf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885012206095","",""
"","","C502",".1 uf","device:C_Small","Capacitors_SMD:C_0603","","","","","","710-885012206095","",""
"","","C601","2.2uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_4x5.7","","","","","","710-865080140002","",""
"","","C602","2.2uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_4x5.7","","","","","","710-865080140002","",""
"","","C603","2.2uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_4x5.7","","","","","","710-865080140002","",""
"","","C604","2.2uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_4x5.7","","","","","","710-865080140002","",""
"","","C701",".1 uf","device:C","Capacitors_SMD:C_0603","","","","","","710-885012206095","",""
"","","C801",".1 uf","device:C","Capacitors_SMD:C_0603","","","","","","710-885012206095","",""
"","","C802","15 uf 15V","device:CP1","Capacitors_SMD:CP_Elec_4x5.7","","","","","","647-UUD1C150MCL","",""
"","","C803","47 nf","device:C","Capacitors_SMD:C_0603","","","","","","710-885012206093","",""
"","","D1","ACT2","device:LED","LEDs:LED_0402","","","","","","710-150040SS73220","",""
"","","D2","ACT1","device:LED","LEDs:LED_0402","","","","","","710-150040GS73220","",""
"","","D301","CMSH1-60 TR13","device:D_Schottky","Diodes_SMD:D_SMB","","","","","","610-CMSH1-60TR13","",""
"","","D601","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D602","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D603","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D604","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D605","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D606","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D607","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
"","","D608","1N4148","device:D","Diodes_SMD:D_SOD-123","","","","","","750-1N4148WS-HF","",""
