Item #,Designator,Qty,Manufacturer,Mfg Part #,Description,Value,Package/Footprint,Type,Your Instructions / Notes
1,"C201, C202",2,Samsung Electro-Mechanics,CL21A106MQFNNNE,,10uf,0805,SMD,
2,"C203, C206, C209, C217",4,KEMET,C0402C101K8RAUTO,,1uf,0402,SMD,
3,"C204, C205, C208, C210",4,Wurth Elektronik,885012105001,,100nf,0402,SMD,
4,C207,1,KEMET,C0402C101K3RAUTO,,100pf,0402,SMD,
5,C213,1,Murata,GRM155R61E103KA1D,,10nf,0402,SMD,
6,C214,1,Murata,GRM1557U1A302JA1D,,3nf,0402,SMD,
7,"C215, C216",2,Samsung Electro-Mechanics,CL05C220JB5NNND,,22pf,0402,SMD,
8,C301,1,Nichicon,UWT1E221MNL1GS,,220 uf 25V,CP_Elec_8x10,SMD,
9,C302,1,Nichicon,UUX2A220MNL6GS,,22 uf 100V,CP_Elec_8x10,SMD,
10,"C401, C701, C801",3,Wurth Elektronik,885012206095,,.1 uf,0603,SMD,
11,"C402, C403, C404, C405",4,Wurth Elektronik,885382206002,,10 nf,0603,SMD,
12,"C501, C502",2,Wurth Elektronik,885012206095,,.1 uf,0603,SMD,
13,"C601, C602, C603, C604",4,Wurth Elektronik,865080140002,,2.2uf 50V,CP_Elec_4x5.7,SMD,
14,C802,1,Nichicon,UUD1C150MCL,,15 uf 15V,CP_Elec_4x5.7,SMD,
15,C803,1,Wurth Elektronik,885012206093,,47 nf,0603,SMD,
16,D1,1,Wurth Elektronik,150040SS73220,,ACT2,0402,SMD,
17,D2,1,Wurth Elektronik,150040GS73220,,ACT1,0402,SMD,
18,D301,1,Central Semiconductor,CMSH1-60TR13,,CMSH1-60 TR13,SMB,SMD,
19,"D601, D602, D603, D604, D605, D606, D607, D608",8,Comchip Technology,1N4148WS-HF,,1N4148,SOD-123,SMD,
20,"D609, D610, D611, D612",4,Wurth Elektronik,150060SS55040,,LED,0603,SMD,
21,"D701, D801, D802",3,Diodes Incorporated,DFLS240-7,,DFLS240-7,SMB,SMD,
22,"JP701, JP702, JP703, JP704, JP705, JP706, JP707, JP708",8,Vishay,CRCW12060000Z0EBC,,0,1206,SMD,
23,L201,1,TDK,MLG1005S2N0ST000 ,,2.0nH,L_0402,SMD,
24,L301,1,Bourns,SRN1060-331M,,330 uh,SRN1060,SMD,
25,"R1, R2",2,Susumu,RR0510P-271D,,270,0402,SMD,
26,R201,1,Yageo,RC0402JR-1310KL,,10K,0402,SMD,
27,R202,1,Walsin,RMC10K203FTH ,,20K,0402,SMD,
28,"R203, R206",2,Vishay,CRCW06032K40JNEAC,,2.4K,0402,SMD,
29,"R204, R205",2,Walsin,RMC1/16SK49R9FTH,,49.9,0402,SMD,
30,"R402, R404, R406, R408",4,Vishay,CRCW06031K50JNEAC,,1.5K Ohms,0603,SMD,
31,"R409, R410, R411, R412",4,Vishay,CRCW060310K0JNEBC,,10K Ohms,0603,SMD,
32,"R601, R602, R603, R604",4,Vishay,RCG060322K0JNEA,,22K Ohms,0603,SMD,
33,"R605, R606, R607, R608",4,Vishay,CRCW06031M00JNEAC,,1M Ohms,0603,SMD,
34,"R609, R610, R611, R612",4,Vishay,CRCW06032K70JNEAC,,2.7K Ohms,0603,SMD,
35,"R801, R802",2,Vishay,CRCW120660R0KNAIF,,60 Ohms,1206,SMD,
36,"RP701, RP702",2,Bourns,4816P-T1LF-1.5K,,1.5K Ohms,4816P,SMD,
37,RR501,1,Bourns,4814P-2LF-10K,,10K Ohms,4814P,SMD,
38,"RV601, RV602, RV603, RV604",4,Bourns,3314J-1-253E,,25K Ohms,Potentiometer_Trimmer_Bourns_3214J,SMD,
39,SW201,1,C&K Switches,PTS647SN70SMTR2L,,RESET,PTS647SM38SMTR2LFS,SMD,
40,U201,1,Espressif Systems,ESP32-D0WD-V3,WiFi Development Tools (802.11) SMD IC WiFi Dual Core BT Combo,ESP32-D0WD-V3,QFN35P500X500X90-49N-D,SMD,
41,U202,1,Winbond,W25Q32JVSSIQ,"NOR Flash spiFlash, 32M-bit, DTR, 4Kb Uniform Sector",W25Q32JVSSIQ,SOIC-8_3.9x4.9mm_Pitch1.27mm,SMD,
42,U301,1,Texas Instruments,LM2574MX33NOPB,,LM2574N-3.3,SOIC-14_7.4x8.7mm_Pitch1.27mm,SMD,
43,"U401, U402",2,Microchip Technology,TC1426COA713,,TC4426,SOIC-8_3.9x4.9mm_Pitch1.27mm,SMD,
44,U403,1,Texas Instruments,CD74HC14M ,,74HCT14,SOIC-14_3.9x8.7mm_Pitch1.27mm,SMD,
45,"U501, U502",2,Texas Instruments,SN74AHC00D,,74HCT00,SOIC-14_3.9x8.7mm_Pitch1.27mm,SMD,
46,"U503, U504, U505, U506",4,Microchip Technology,TC4428VOA,,TC4428,SOIC-8_3.9x4.9mm_Pitch1.27mm,SMD,
47,"U601, U602",2,Texas Instruments,LM339DR,,LM339,SOIC-14_3.9x8.7mm_Pitch1.27mm,SMD,
48,U701,1,Nexperia,"PCA9685PW,118",,PCA9685,TSSOP-28_4.4x9.7mm_Pitch0.65mm,SMD,
49,"U702, U703",2,Toshiba,TBD62083AFG or TBD62783AFG,,TBD62X83A,SOIC-18W_7.5x11.6mm_Pitch1.27mm,SMD,
50,U801,1,Texas Instruments,TCAN332DR,,TCAN332DR,SOIC-8_3.9x4.9mm_Pitch1.27mm,SMD,
51,Y201,1,Epson,FA-20H40MF10Z-W3 ,,40 Mhz +/- 10 ppm,FA20_H,SMD,
