"Source:","/home/heller/RRCircuits/ESP32-PWMHalfSidingSMD/ESP32-PWMHalfSidingSMD.sch"
"Date:","Fri 17 Dec 2021 03:16:03 PM EST"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"","","C1",".1 uf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206095"
"","","C2","15 uf 15V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_4x5.7","","647-UUD1C150MCL"
"","","C3","47 nf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206093"
"","","C4","220 uf 25V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_8x10","","647-UWT1E221MNL1GS"
"","","C5","22 uf 100V","ESP32-PWMHalfSidingSMD-cache:CP1-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:CP_Elec_8x10","","647-UUX2A220MNL6GS"
"","","C7",".1 uf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206095"
"","","C601",".1 uf","ESP32-PWMHalfSidingSMD-cache:C-RESCUE-ESP32-PWMHalfSidingSMD","Capacitors_SMD:C_0603","","710-885012206095"
"","","D1","DFLS240-7","ESP32-PWMHalfSidingSMD-cache:DIODESCH","Diodes_SMD:D_SMB","","621-DFLS240-7"
"","","D2","DFLS240-7","ESP32-PWMHalfSidingSMD-cache:DIODESCH","Diodes_SMD:D_SMB","","621-DFLS240-7"
"","","D3","CMSH1-60 TR13","ESP32-PWMHalfSidingSMD-cache:DIODESCH","Diodes_SMD:D_SMB","","610-CMSH1-60TR13"
