"Source:","/home/heller/RRCircuits/PocketBeagleCommandStation/PocketBeagleCommandStation.sch"
"Date:","Wed 19 Oct 2022 12:27:19 PM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/home/heller/RRCircuits/bom_csv_grouped_by_partnum.py"
"Component Count:","110"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"","","C1","10 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","75-1C10Z5U103M100B"
"","","C2","10 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","75-1C10Z5U103M100B"
"","","C3","220 uf 25V","device:CP1","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","710-860080474010"
"","","C4","22 uf 100V","device:CP1","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","667-ECA-1VM220I"
"","","C5","1 uf","device:CP1","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","810-FG18X5R1H105KRT6"
"","","C6",".1 uf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K104Z15Y5VF5TL2"
"","","C7","47 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K473K15X7RF5TL2"
"","","C8","15 uf 15V","device:CP1","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","","710-860080773002"
"","","C9","1 uf","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","","810-FG18X5R1H105KRT6"
"","","C10","100 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K104Z15Y5VF5TL2"
"","","C11","10 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","75-1C10Z5U103M100B"
"","","C12","10 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","75-1C10Z5U103M100B"
"","","C13","100 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K104Z15Y5VF5TL2"
"","","C14","33pf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K330J10C0GH5TL2"
"","","C15","33pf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K330J10C0GH5TL2"
"","","C16","33pf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","594-K330J10C0GH5TL2"
"","","C17","1 uf","device:CP1","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","810-FG18X5R1H105KRT6"
"","","D1","SB530","device:D_Schottky","Diodes_THT:D_DO-201AD_P12.70mm_Horizontal","","625-SB530-E3"
"","","D2","SB160","device:D_Schottky","Diodes_THT:D_DO-41_SOD81_P7.62mm_Horizontal","","750-SB160E-G"
"","","D3","SB240","device:D_Schottky","Diodes_THT:D_DO-15_P10.16mm_Horizontal","","625-SB240-E3/73"
"","","D4","SB240","device:D_Schottky","Diodes_THT:D_DO-15_P10.16mm_Horizontal","","625-SB240-E3/73"
"","","D5","LED (Red, CAN Tx)","device:LED","LEDs:LED_D3.0mm","","710-151031SS04000"
"","","D6","LED (Yellow, CAN Rx)","device:LED","LEDs:LED_D3.0mm","","710-151033YS03000"
"","","D7","1N5817","device:D_Schottky","Diodes_THT:D_DO-41_SOD81_P7.62mm_Horizontal","","583-1N5817-T"
"","","D8","DCC Activity","device:LED","LEDs:LED_D3.0mm","","710-151031VS06000"
"","","D9","DCC Activity","device:LED","LEDs:LED_D3.0mm","","710-151031SS06000 "
"","","F101","3A","device:Fuse_Small","Fuse:Fuse_BelFuse_0ZRE0033FF_L11.4mm_W3.8mm","","530-0ZRB0300FF1A"
"","","F102","3A","device:Fuse_Small","Fuse:Fuse_BelFuse_0ZRE0033FF_L11.4mm_W3.8mm","","530-0ZRB0300FF1A"
"","","F103","300ma","device:Fuse_Small","Fuse:Fuse_Bourns_MF-RG300","","530-0ZRC0030FF1E"
"","","F104","300ma","device:Fuse_Small","Fuse:Fuse_Bourns_MF-RG300","","530-0ZRC0030FF1E"
"","","J1","DCC Output to Tracks","conn:Screw_Terminal_01x04","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_4pol","","651-5442264"
"","","J2","Termination","conn:Conn_02x02_Odd_Even","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","","649-1012938190402BLF"
"","","J3","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","710-615008144221"
"","","J4","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","710-615008144221"
"","","J5","Fan","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","J6","Console","conn:Conn_01x06_Male","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","","523-G800W302018EU"
"","","J101","USB_A","conn:USB_A","USB-A-Upright:USB-A-UPRIGHT","","710-614004184726 "
"","","L1","330 mh","device:L","PELowProfile:PE-LowProfile","","673-PE-52627NL "
"","","P1","POCKETBEAGLE-Header","pocketbeagle:POCKETBEAGLE-P1","Socket_Strips:Socket_Strip_Straight_2x18_Pitch2.54mm","","517-929975-01-18-RK"
"","","P2","POCKETBEAGLE-Header","pocketbeagle:POCKETBEAGLE-P2","Socket_Strips:Socket_Strip_Straight_2x18_Pitch2.54mm","","517-929975-01-18-RK"
"","","Q1","2N3906","transistors:2N3906","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","750-2N3906-G"
"","","Q2","TP0606","device:Q_PMOS_DGS","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","689-TP0606N3-G "
"","","Q3","2N3904","transistors:2N3904","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","583-2N3904"
"","","Q4","2N3904","transistors:2N3904","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","583-2N3904"
"","","Q5","STD12NF06","device:Q_NMOS_GDS","TO_SOT_Packages_THT:TO-251_IPAK_Vertical","","511-STD12NF06L-1"
"","","Q6","2N7000","transistors:2N7000","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","512-2N7000BU"
"","","Q7","DTC143E","device:Q_NPN_EBC","TO_SOT_Packages_SMD:SOT-23_Handsoldering","","771-PDTC143ETT/R"
"","","Q8","2N7000","transistors:2N7000","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","512-2N7000BU"
"","","Q9","DTC143E","device:Q_NPN_EBC","TO_SOT_Packages_SMD:SOT-23_Handsoldering","","771-PDTC143ETT/R"
"","","Q10","2N7000","transistors:2N7000","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","512-2N7000BU"
"","","Q11","2N7000","transistors:2N7000","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","512-2N7000BU"
"","","Q12","STD12NF06","device:Q_NMOS_GDS","TO_SOT_Packages_THT:TO-251_IPAK_Vertical","","511-STD12NF06L-1"
"","","Q13","TIP120","transistors:TIP120","TO_SOT_Packages_THT:TO-220_Vertical","","583-TIP120 "
"","","Q14","STD12NF06","device:Q_NMOS_GDS","TO_SOT_Packages_THT:TO-251_IPAK_Vertical","","511-STD12NF06L-1"
"","","Q15","DTC143E","device:Q_NPN_EBC","TO_SOT_Packages_SMD:SOT-23_Handsoldering","","771-PDTC143ETT/R"
"","","Q16","DTC143E","device:Q_NPN_EBC","TO_SOT_Packages_SMD:SOT-23_Handsoldering","","771-PDTC143ETT/R"
"","","Q17","STD12NF06","device:Q_NMOS_GDS","TO_SOT_Packages_THT:TO-251_IPAK_Vertical","","511-STD12NF06L-1"
"","","R1","2.4 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-25JB-52-2R4"
"","","R2","2.4 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-25JB-52-2R4"
"","","R3","4.7K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-12JT-52-4K7"
"","","R4","3.24K Ohms, 1%","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-25FRF52-3K24"
"","","R5","19.1 Ohms 1%","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-25FBF52-19R1"
"","","R6","2.7 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-25JR-52-2R7"
"","","R7","4.7K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-12JT-52-4K7"
"","","R8","60 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-RSF2WSJT-52-60R"
"","","R9","60 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-RSF2WSJT-52-60R"
"","","R10","20K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-20K"
"","","R11","20K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-20K"
"","","R12","20K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-20K"
"","","R13","1.5K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","279-CFR25J1K5"
"","","R14","1K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-1K"
"","","R15","1K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-1K"
"","","R16",".15 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","MFR-25FTF52-0R15 "
"","","R17","1K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-1K"
"","","R18","10K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-10K"
"","","R19","10K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-10K"
"","","R20","2.4 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-25JB-52-2R4"
"","","R21","20K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-20K"
"","","R22","20K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-20K"
"","","R23","10K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-10K"
"","","R24","2.4 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-CFR-25JB-52-2R4"
"","","R25","1.5K Ohms 1/2W","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","","279-CFR25J1K5"
"","","R26","10K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-10K"
"","","R27","2.4K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","660-CFS1/4CT52R242J"
"","","R28","2.4K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","660-CFS1/4CT52R242J"
"","","R29","2.4K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","660-CFS1/4CT52R242J"
"","","R30","1K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","603-MFR-12FTF52-1K"
"","","R31","56 Ohms 1/2 watt","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","","660-CF1/2CT52R560J"
"","","R32","24.9","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","71-CMF5524R900DHR6"
"","","R33","24.9 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","71-CMF5524R900DHR6"
"","","R34","10K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","603-MFR-12FTF52-10K"
"","","R35","24.9 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","71-CMF5524R900DHR6 "
"","","R36","24.9 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","71-CMF5524R900DHR6 "
"","","R37","3.24K Ohms, 1%","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","603-MFR-25FRF52-3K24"
"","","R38","102 Ohms 1%","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","603-MFR-25FBF52-102R"
"","","R39","160 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","603-CFR-25JB-52-160R"
"","","R40","160 Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","603-CFR-25JB-52-160R"
"","","R41","3K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","660-MF1/4LCT52R302G"
"","","R42","3K Ohms","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","","660-MF1/4LCT52R302G"
"","","T1","DCC Power In","conn:Screw_Terminal_01x03","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_3pol","","651-5442251"
"","","T2","LCC Power Out","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","T3","LCC Power In","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","U1","LM2574N-5.0","lm2574n-5:LM2574N-5.0","Housings_DIP:DIP-8_W7.62mm","","926-LM2574N-5.0/NOPB"
"","","U2","TCAN332DR","sn65hvd233-ht:TCAN332DR","Housings_SOIC:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","","595-TCAN332DR"
"","","U3","LMD18200","lmd18200:LMD18200","TO220_11Pin:TO220_11PIN_VERT","","926-LMD18200T/NOPB"
"","","U4","L298N","L298N:L298N","Drivers:TO127P2020X500X2100-15","","511-L298"
"","","U5","LM358","linear:LM358","Housings_DIP:DIP-8_W7.62mm","","595-LM358AP"
"","","U6","LM339","linear:LM339","Housings_DIP:DIP-14_W7.62mm","","595-LM339N"
"","","U7","TMP36","tmp36:TMP36","TO_SOT_Packages_THT:TO-92_Molded_Narrow","","485-165 "
"","","U8","LM358","linear:LM358","Housings_DIP:DIP-8_W7.62mm","","595-LM358AP"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"1","4","C1, C2, C11, C12","10 nf","device:C","Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","","75-1C10Z5U103M100B"
"2","1","C3","220 uf 25V","device:CP1","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","710-860080474010"
"3","1","C4","22 uf 100V","device:CP1","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","667-ECA-1VM220I"
