220 uf 25V,1,"C4",REA221M1EBK-0811P
22 uf 100V,1,"C5",REA220M2ABK-0811P
.1 uf,3,"C1 C6 C7"
15 uf, 15V,1,"C2"
47 nf,1,"C3"
SB160-E3/54,1,"D3",SB160-E3/54 
SB240E,2,"D1 D2"
RJ45,2,"J1 J2"
Termination,1,"JMP1"
330 uh,1,"L1",PE-52627NL
POCKETBEAGLE-P1,1,"P1"
POCKETBEAGLE-P2,1,"P2"
Console,1,"P101"
60 Ohms,2,"R1 R2"
10K Ohms,1,"RR1"
+ 15 in -,1,"T1"
+ 15 out -,1,"T2"
Motor 1,1,"T3"
Motor 2,1,"T4"
Motor 3,1,"T5"
Motor 4,1,"T6"
TCAN332DR,1,"U1"
SN65HVD233-HT,1,"U2"
LM2574N-5.0,1,"U3"
TC4428,4,"U4 U5 U6 U7"
74HCT00,2,"U8 U9"
