eeschema (2013-june-11)-stable  >> Creation date: Thu 10 Nov 2016 12:33:50 EST
#Cmp ( order = Reference )
| C1         .1 uf       ; 21RZ310-RC  ;             
| C2         .1 uf       ; 21RZ310-RC  ;             
| C3         1 uf 35V    ; 598-SK1R0M050ST; 33662       
| C4         1 uf 35V    ; 598-SK1R0M050ST; 33662       
| D1         1N5229B     ; 512-1N5229B ;             
| D2         1N4002      ; 833-1N4002-TP;             
| D3         1N4002      ; 833-1N4002-TP;             
| D4         1N4002      ; 833-1N4002-TP;             
| D5         1N4002      ; 833-1N4002-TP;             
| D6         1N5229B     ; 512-1N5229B ;             
| IC1        MCT6H       ; 782-MCT6H   ;             
| IC2        MCT6H       ; 782-MCT6H   ;             
| Q1         MPQ3725A    ; 610-MPQ3725A;             
| Q2         MPQ3725A    ; 610-MPQ3725A;             
| R1         10K Ohms    ; 652-4609X-1LF-10K;             
| R2         270 Ohms    ; 71-CCF07270RGKE36;             
| R3         270 Ohms    ; 71-CCF07270RGKE36;             
| R4         270 Ohms    ; 71-CCF07270RGKE36;             
| R5         270 Ohms    ; 71-CCF07270RGKE36;             
| R6         100 Ohms    ; 71-CCF07100RJKE36;             
| R7         100 Ohms    ; 71-CCF07100RJKE36;             
| R8         100 Ohms    ; 71-CCF07100RJKE36;             
| R9         100 Ohms    ; 71-CCF07100RJKE36;             
| R10        1K Ohms     ; 71-CCF071K00JKE36;             
| R11        1K Ohms     ; 71-CCF071K00JKE36;             
| R12        1K Ohms     ; 71-CCF071K00JKE36;             
| R13        1K Ohms     ; 71-CCF071K00JKE36;             
| R14        1K Ohms     ; 71-CCF071K00JKE36;             
| R15        1K Ohms     ; 71-CCF071K00JKE36;             
| R16        1K Ohms     ; 71-CCF071K00JKE36;             
| R17        1K Ohms     ; 71-CCF071K00JKE36;             
| R18        1K Ohms     ; 71-CCF071K00JKE36;             
| R19        1K Ohms     ; 71-CCF071K00JKE36;             
| R20        1K Ohms     ; 71-CCF071K00JKE36;             
| R21        1K Ohms     ; 71-CCF071K00JKE36;             
| R22        1K Ohms     ; 71-CCF071K00JKE36;             
| R23        1K Ohms     ; 71-CCF071K00JKE36;             
| R24        470 Ohms    ; 279-CFR50J470R;             
| R25        470 Ohms    ; 279-CFR50J470R;             
| R26        470 Ohms    ; 279-CFR50J470R;             
| R27        470 Ohms    ; 279-CFR50J470R;             
| R28        470 Ohms    ; 279-CFR50J470R;             
| R29        470 Ohms    ; 279-CFR50J470R;             
| R30        470 Ohms    ; 279-CFR50J470R;             
| R31        470 Ohms    ; 279-CFR50J470R;             
| T0         GPIO        ; 571-282834-5 (x2);             
| T1         Motor 1     ; 571-282834-5;             
| T2         Motor 2     ; 571-282834-5;             
| T3         Motor 3     ; 571-282834-5;             
| T4         Motor 4     ; 571-282834-5;             
| T5         Motor Power ; 571-282834-2;             
| U1         74AHCT00    ; 595-SN74AHC00N ;             
| U2         74AHCT00    ; 595-SN74AHC00N ;             
| U3         LM324N      ; 512-LM324N  ;             
| U4         LM324N      ; 512-LM324N  ;             
#End Cmp

#End List
