10 uf 35V,1,"C1",667-ECA-1HM100I
.1 uf,3,"C2 C3 C8",581-SR201C104KARTR1
WP 1 0,1,"P2",649-67996-406HLF
BeagleBone_Black_Header,2,"P8 P9",200-ESQ12314GD 
4.75K Ohms,3,"R5 R6 R7",603-CFR-25JR-524K7
5.6K Ohms,2,"R3 R4",603-CFR-25JR-525K6
10K Ohms,1,"R8",603-CFR-25JR-5210K
10K Ohms,1,"RR1",652-4609X-1LF-10K
Motor 1,1,"T1",651-1725685
Motor 2,1,"T2",651-1725685
Motor 3,1,"T3",651-1725685
Motor 4,1,"T4",651-1725685
+ 12V -,1,"T5",651-1725656
TC4428,4,"U1 U2 U3 U4",579-TC4428VPA
74HCT00,2,"U5 U6",595-SN74AHC00N
CAT24C256W,1,"U9",698-CAT24C256WI-GT3
