eeschema (2013-june-11)-stable  >> Creation date: Mon 05 Dec 2016 11:38:53 EST
#Cmp ( order = Reference )
| C1         10 pf       ; 594-S100K25SL0N63L6R;             
| C2         10 pf       ; 594-S100K25SL0N63L6R;             
| C3         10 pf       ; 594-S100K25SL0N63L6R;             
| C4         10 uf, 50V  ; 140-REA100M1HBK0511P;             
| C5         10 uf, 50V  ; 140-REA100M1HBK0511P;             
| C6         10 uf, 50V  ; 140-REA100M1HBK0511P;             
| C7         10 pf       ; 594-S100K25SL0N63L6R;             
| C8         10 uf, 50V  ; 140-REA100M1HBK0511P;             
| D1         6A05-T      ; 621-6A05-T  ;             
| D2         6A05-T      ; 621-6A05-T  ;             
| D3         6A05-T      ; 621-6A05-T  ;             
| D4         6A05-T      ; 621-6A05-T  ;             
| IC1        MCT6H       ; 782-MCT6H   ;             
| IC2        MCT6H       ; 782-MCT6H   ;             
| Q1         TIP120      ; 863-TIP120G ;             
| Q2         TIP120      ; 863-TIP120G ;             
| Q3         TIP120      ; 863-TIP120G ;             
| Q4         TIP120      ; 863-TIP120G ;             
| R1         270 Ohms    ; 603-CFR-25JR-52-270R;             
| R2         270 Ohms    ; 603-CFR-25JR-52-270R;             
| R3         270 Ohms    ; 603-CFR-25JR-52-270R;             
| R4         1K Ohms     ; 279-2-1623927-3;             
| R5         1K Ohms     ; 279-2-1623927-3;             
| R6         1K Ohms     ; 279-2-1623927-3;             
| R7         510K Ohms   ; 660-CF1/4CT52R514J;             
| R8         510K Ohms   ; 660-CF1/4CT52R514J;             
| R9         1K Ohms     ; 279-2-1623927-3;             
| R10        510K Ohms   ; 660-CF1/4CT52R514J;             
| R11        1K Ohms     ; 279-2-1623927-3;             
| R12        1K Ohms     ; 279-2-1623927-3;             
| R13        1K Ohms     ; 279-2-1623927-3;             
| R14        1K Ohms     ; 279-2-1623927-3;             
| R15        1K Ohms     ; 279-2-1623927-3;             
| R16        1K Ohms     ; 279-2-1623927-3;             
| R17        510K Ohms   ; 660-CF1/4CT52R514J;             
| R18        1K Ohms     ; 279-2-1623927-3;             
| R19        270 Ohms    ; 603-CFR-25JR-52-270R;             
| R20        1K Ohms     ; 279-2-1623927-3;             
| RV1        500K Ohms   ; 652-3309P-1-504;             
| RV2        500K Ohms   ; 652-3309P-1-504;             
| RV3        500K Ohms   ; 652-3309P-1-504;             
| RV4        500K Ohms   ; 652-3309P-1-504;             
| T1         Uncoupler 1 ; 571-2828374 ;             
| T2         Uncoupler 2 ; 571-2828374 ;             
| T3         Uncoupler 3 ; 571-2828374 ;             
| T4         Uncoupler 4 ; 571-2828374 ;             
| T5         Power       ; 571-2828372 ;             
| T6         GPIO        ; 651-1725737 ; 2x 651-1725685 
| U1         LM556       ; 926-LM556CN/NOPB;             
| U2         LM556       ; 926-LM556CN/NOPB;             
#End Cmp

#End List
