ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,10uf 25V,C1V5,598-SK100M025ST,,,,,,,
C2,100pf 50V,C1,TAP104M035DCS  ,,,,,,,
J0,RPi_GPIO,RPi_Hat:Pin_Header_Straight_2x20,517-929975-01-20,2223,2222,1979,,,,
J1,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J2,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J3,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J4,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J5,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J6,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J7,DIL Header 2x5,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J8,DIL Header 2x5;,PIN_ARRAY_5x2,649-66506-066LF,,,,,,,
J9,SIL 3 header,PIN_ARRAY_3X1,538-22-28-8034 ,,,,,,,
R1,33K Ohms,R1,660-MF1/4LCT52R333G,,,,,,,
U1,MAX7221,DIP-24__300,700-MAX7221CNG,,,,,,,
U2,74AHCT125,DIP-14,,,,,,,,
