eeschema (2013-june-11)-stable  >> Creation date: Mon 05 Dec 2016 09:57:25 EST
#Cmp ( order = Reference )
| C1         10uf 25V    ; 598-SK100M025ST;             
| C2         100pf 50V   ; TAP104M035DCS  ;             
| J0         RPi_GPIO    ; 517-929975-01-20; 2223        
| J1         DIL Header 2x5; 649-66506-066LF;             
| J2         DIL Header 2x5; 649-66506-066LF;             
| J3         DIL Header 2x5; 649-66506-066LF;             
| J4         DIL Header 2x5; 649-66506-066LF;             
| J5         DIL Header 2x5; 649-66506-066LF;             
| J6         DIL Header 2x5; 649-66506-066LF;             
| J7         DIL Header 2x5; 649-66506-066LF;             
| J8         DIL Header 2x5; 649-66506-066LF;             
| J9         SIL 3 header; 538-22-28-8034 ;             
| R1         33K Ohms    ; 660-MF1/4LCT52R333G;             
| U1         MAX7221     ; 700-MAX7221CNG;             
| U2         74AHCT125   ; 595-SN74AHCT125N;             
#End Cmp

#End List
